vertex_index,x,y,z,nx,ny,nz
208,-8.760130,-9.932140,0.488748,-0.293596,0.955707,0.020629
209,-8.755600,-9.928460,0.587491,-0.293330,0.949911,-0.107828
210,-6.427110,-9.582340,2.431850,0.975728,-0.171819,0.135768
211,-6.432320,-9.635150,2.402460,0.979612,-0.133332,0.150273
212,-6.404260,-9.620610,2.349500,0.941847,-0.155795,-0.297744
213,-8.151520,-9.928620,2.493890,-0.017615,0.999840,-0.003020
214,-8.237040,-9.934120,2.528800,-0.002146,0.999810,-0.019368
215,-8.143550,-9.926320,2.578930,0.006643,0.999738,-0.021908
216,-4.584450,-4.990810,2.948550,-0.019520,0.998910,-0.042406
217,-4.525060,-4.992690,2.952050,-0.215112,0.976575,0.005316
218,-4.577460,-5.023640,2.920230,-0.009238,0.293469,-0.955924
219,-6.002300,-7.080800,2.935990,-0.010443,-0.026965,-0.999582
220,-6.070930,-7.102810,2.921730,0.112618,-0.016857,-0.993495
221,-6.054360,-7.019460,2.920350,0.012400,0.072184,-0.997314
222,-5.940890,-7.028590,2.921100,0.012400,0.072184,-0.997314
223,-4.548740,-4.550240,2.921270,0.002477,-0.040736,-0.999167
224,-4.453680,-4.586210,2.920880,-0.046565,-0.019651,-0.998722
225,-4.516990,-4.607970,2.928500,0.001384,0.005963,-0.999981
226,-6.206650,-4.691490,-0.025058,0.030172,0.014195,-0.999444
227,-6.234990,-4.769720,-0.028487,0.014169,0.020578,-0.999688
228,-6.287910,-4.715230,-0.027848,0.023646,0.009307,-0.999677
229,-6.425350,-4.766520,0.504699,0.999963,-0.007286,-0.004471
230,-6.428030,-4.719070,0.547776,0.999914,0.011265,-0.006699
231,-6.428820,-4.752190,0.602694,0.999965,0.001298,0.008260
232,-4.671500,-4.842340,2.926240,-0.027234,-0.155435,-0.987471
233,-4.643900,-4.768730,2.926560,-0.021119,-0.014386,-0.999673
234,-4.611680,-4.818960,2.920910,0.040816,-0.112799,-0.992779
235,-4.696980,-4.783270,2.920080,0.031797,0.022452,-0.999242
236,-3.941570,-5.156920,2.921720,-0.065128,0.065663,-0.995714
237,-3.933950,-5.216540,2.920830,-0.016359,0.019449,-0.999677
238,-4.022470,-5.201860,2.924610,0.027485,0.094659,-0.995130
239,-5.619070,-5.158810,2.923790,-0.023863,-0.007986,-0.999683
240,-5.611790,-5.225190,2.921300,-0.043541,-0.000596,-0.999051
241,-5.677040,-5.238850,2.925190,0.003491,0.014226,-0.999893
242,-4.985860,-4.523990,-0.028952,0.021924,0.068675,-0.997398
243,-5.060160,-4.474280,-0.029930,0.110850,0.738668,-0.664893
244,-5.002030,-4.466060,-0.024182,-0.129936,0.778883,-0.613562
245,-5.699060,-4.102180,0.029729,0.026560,0.008674,0.999610
246,-5.628390,-4.119900,0.023276,0.021713,0.012975,0.999680
247,-4.693910,-5.037150,0.025274,-0.004343,0.030678,0.999520
248,-4.667340,-5.103640,0.029113,0.040912,0.016817,0.999021
249,-4.630140,-5.042430,0.025761,0.053806,0.021966,0.998310
250,-5.444130,-4.131550,-0.028649,0.625895,-0.003887,-0.779897
251,-4.652140,-4.495230,2.922890,0.042919,0.088936,-0.995112
252,-4.703410,-4.560370,2.923860,0.017157,0.019193,-0.999669
253,-4.710140,-4.473890,2.923500,0.080254,0.285330,-0.955064
254,-5.649670,-5.953480,-0.024561,0.028469,0.014638,-0.999487
255,-5.708690,-6.034440,-0.025513,0.011076,0.007173,-0.999913
256,-5.746780,-5.943230,-0.029204,0.027597,0.014539,-0.999513
257,-6.425110,-4.573410,0.619874,0.999980,0.003432,-0.005357
258,-6.429340,-4.636670,0.647087,0.999299,-0.030053,0.022318
259,-6.425030,-4.656950,0.581287,0.999980,0.003432,-0.005357
260,-4.985360,-4.804090,-0.029464,-0.004305,0.103387,-0.994632
261,-5.065750,-4.736450,-0.029390,0.079965,0.049918,-0.995547
262,-4.966030,-4.743320,-0.021725,-0.000530,0.075489,-0.997147
263,-7.723930,-9.227670,-0.026992,0.018417,-0.001296,-0.999830
264,-7.822370,-9.214710,-0.029517,-0.014130,0.045957,-0.998843
265,-7.744900,-9.136690,-0.028939,-0.013085,0.027985,-0.999523
266,-6.425570,-4.512430,2.580870,0.967361,0.171376,0.186663
267,-6.454180,-4.424210,2.608900,0.562820,0.742190,0.363851
268,-6.425880,-4.504590,2.653340,0.831963,0.554830,-0.001256
269,-1.823620,-9.977560,1.276460,-0.006963,0.999771,-0.020238
270,-1.861800,-9.973240,1.378240,0.032486,0.999034,-0.029597
271,-1.802210,-9.978100,1.342950,-0.000396,0.999513,0.031196
272,-1.748750,-9.973550,1.298900,0.022990,0.999531,0.020213
273,-4.663030,-4.453500,-0.024322,0.153136,0.864235,-0.479216
274,-4.739080,-4.475280,-0.029809,-0.029216,0.648919,-0.760296
275,-4.739590,-4.464710,0.029027,-0.111667,0.965180,0.236555
276,-4.820240,-4.460340,-0.026874,-0.092917,0.963915,0.249470
277,-5.824630,-4.015320,2.921530,-0.365122,0.481793,-0.796594
278,-5.797490,-3.963830,2.933930,-0.303828,0.344319,-0.888332
279,-5.761470,-4.004140,2.932060,-0.028641,0.034767,-0.998985
280,-5.736690,-3.945190,2.920360,-0.297271,0.346318,-0.889772
281,-5.434320,-12.856400,2.923460,0.255583,-0.054588,-0.965245
282,-5.457970,-12.780600,2.920040,0.005476,0.006383,-0.999965
283,-5.377150,-12.779300,2.920110,0.404099,-0.044224,-0.913646
284,-0.190928,-7.056130,2.579450,0.638737,0.764675,-0.085366
285,-0.218761,-7.042580,2.492570,0.652667,0.742141,0.152486
286,-0.251667,-7.047530,2.568530,0.065818,0.997177,0.036146
287,-0.249792,-7.046560,2.630220,-0.002714,0.999968,0.007579
288,-1.891980,-7.488050,-0.027905,0.010384,0.016888,-0.999803
289,-1.853220,-7.544750,-0.029293,0.014357,0.013147,-0.999811
