vertex_index,x,y,z,nx,ny,nz
132,-1.761760,1.338620,4.556640,0.129418,-0.777769,-0.615083
133,-1.754680,1.347050,4.547470,0.129418,-0.777769,-0.615083
134,-3.041080,0.042161,4.480300,0.265469,-0.355314,-0.896258
135,-3.053230,0.042017,4.489270,-0.159419,-0.959727,-0.231321
136,-3.054470,0.045677,4.474940,0.265469,-0.355314,-0.896258
137,-2.748080,0.055588,4.518820,0.963341,-0.267791,0.016205
138,-2.756260,0.052570,4.507570,-0.272023,-0.587607,-0.762051
139,-2.746780,0.059075,4.499170,0.411565,0.064810,-0.909073
140,-2.975830,0.740788,4.462480,0.373250,-0.014644,-0.927615
141,-2.984910,0.734503,4.472090,-0.261388,-0.675941,-0.689042
142,-2.981830,0.748447,4.472970,0.035668,0.816732,-0.575914
143,-2.975800,0.739522,4.482390,0.981303,-0.191983,-0.013686
144,-2.777280,0.270796,4.487820,0.049302,0.102862,-0.993473
145,-2.780620,0.261538,4.501570,-0.266080,-0.816646,-0.512144
146,-3.141830,0.741468,4.457220,0.930639,-0.108063,-0.349620
147,-3.140090,0.757100,4.457020,0.930639,-0.108063,-0.349620
148,-3.147640,0.750169,4.467910,0.843799,-0.087148,0.529537
149,-3.152530,1.157400,4.464860,0.850538,-0.479166,0.216760
150,-3.156220,1.145770,4.453630,0.505111,-0.567706,-0.650056
151,-3.147180,1.159550,4.448620,0.505111,-0.567706,-0.650056
152,-2.980090,0.380311,4.491310,0.867159,0.086819,-0.490405
153,-2.986520,0.370206,4.501170,0.900926,-0.194961,0.387715
154,-2.981290,0.365240,4.486520,0.867159,0.086819,-0.490405
155,-2.995090,0.376009,4.488480,0.188496,-0.011238,-0.982010
156,-2.969020,0.673447,4.465500,0.729191,0.355065,-0.584987
157,-2.979390,0.679287,4.474960,-0.169486,0.744700,-0.645520
158,-2.965560,0.682998,4.475610,0.729191,0.355065,-0.584987
159,-1.761430,1.237580,4.558540,0.009140,-0.394467,-0.918864
160,-1.748110,1.248860,4.553830,0.009140,-0.394467,-0.918864
161,-1.746940,1.235400,4.559620,0.009140,-0.394467,-0.918864
162,-1.563190,1.151680,4.575340,0.187157,-0.266474,-0.945497
163,-1.556030,1.156120,4.589360,0.897862,-0.081965,-0.432580
164,-1.571010,1.147120,4.590320,-0.318504,-0.847658,-0.424301
165,-2.972930,0.945144,4.459470,0.470616,-0.603430,-0.643734
166,-2.968210,0.949260,4.476250,0.963962,-0.026051,-0.264760
167,-2.970130,0.935433,4.470620,0.470616,-0.603430,-0.643734
168,-3.155470,0.272975,4.469900,-0.221551,0.937057,-0.269886
169,-3.139220,0.276866,4.470070,0.571431,0.596205,-0.563921
170,-3.146790,0.271116,4.456320,0.571431,0.596205,-0.563921
171,-2.270450,2.238630,4.477700,0.407169,-0.116160,-0.905936
172,-2.280300,2.243720,4.486910,-0.469861,0.457137,-0.755153
173,-2.266390,2.245800,4.490070,0.836059,0.308871,-0.453436
174,-2.277490,2.229580,4.487160,0.106610,-0.756909,-0.644766
175,-3.044320,0.955849,4.461790,0.835549,-0.096166,-0.540934
176,-3.042450,0.942453,4.467060,0.835549,-0.096166,-0.540934
177,-3.056960,0.942426,4.466590,0.030850,-0.362184,-0.931596
178,-1.745080,2.328000,4.529940,0.026059,-0.796317,-0.604318
179,-1.759430,2.332190,4.523800,0.026059,-0.796317,-0.604318
180,-1.749430,2.342480,4.528720,0.403910,0.044355,-0.913723
181,-1.753930,2.335320,4.541310,-0.376424,-0.884285,0.276307
182,-3.060820,0.365497,4.469830,0.982244,0.171496,-0.076070
183,-3.068550,0.371194,4.480520,0.560689,0.827268,-0.035437
184,-3.059240,0.365279,4.489740,0.982244,0.171496,-0.076070
185,-2.833500,0.640540,4.473440,0.825469,0.239996,-0.510885
186,-2.829590,0.650103,4.484250,0.825469,0.239996,-0.510885
187,-2.825300,0.636199,4.484650,0.825469,0.239996,-0.510885
188,-1.565910,0.959132,4.577040,0.387952,-0.741545,-0.547361
189,-1.563060,0.951603,4.589260,0.387952,-0.741545,-0.547361
190,-1.576160,0.949230,4.583190,0.387952,-0.741545,-0.547361
191,-2.983540,0.942257,4.470190,-0.361753,-0.746111,-0.558975
192,-2.969910,0.673300,4.485230,0.925584,-0.376534,0.038947
193,-3.155480,0.750847,4.452630,0.290748,-0.044591,-0.955760
194,-2.132530,2.342130,4.516550,0.085654,-0.989801,0.113828
195,-2.136490,2.347930,4.504190,-0.547319,-0.027828,-0.836461
196,-2.126240,2.340510,4.497730,0.324445,-0.458442,-0.827385
197,-2.123120,2.350150,4.508470,0.903361,0.153706,-0.400392
198,-1.666150,1.648280,4.551630,0.058919,-0.851763,-0.520604
199,-1.657160,1.654690,4.542160,0.058919,-0.851763,-0.520604
200,-1.652060,1.648020,4.553650,0.058919,-0.851763,-0.520604
201,-3.137270,0.659913,4.460420,0.569074,-0.495161,-0.656484
202,-3.148540,0.648671,4.459130,0.569074,-0.495161,-0.656484
203,-3.152320,0.665304,4.461530,-0.023789,0.137474,-0.990220
204,-2.246890,2.596410,4.494580,-0.202948,-0.702323,-0.682316
205,-2.257190,2.605060,4.488740,-0.202948,-0.702323,-0.682316
206,-2.239510,2.604080,4.484490,-0.202948,-0.702323,-0.682316
207,-2.046110,1.748850,4.512690,-0.082608,-0.258903,-0.962364
208,-2.041410,1.743220,4.527670,0.238265,-0.882132,-0.406292
209,-2.054050,1.753920,4.525640,-0.852374,0.000811,-0.522932
210,-3.146370,0.655686,4.473310,0.670773,-0.700426,0.243858
211,-2.841130,2.145330,4.447440,0.800611,-0.225908,-0.554966
212,-2.845870,2.153810,4.437150,0.800611,-0.225908,-0.554966
213,-2.847720,2.153380,4.457030,0.819851,0.565692,0.088530
214,-2.855090,2.147260,4.446180,-0.052135,-0.782318,-0.620694
215,-3.012060,2.612130,4.451630,0.507094,-0.672763,-0.538745
216,-3.015320,2.618160,4.467470,0.621893,-0.680721,0.387129
217,-3.024970,2.617830,4.456210,-0.492827,-0.680072,-0.542792
218,-2.543380,2.632770,4.467280,0.642866,0.330188,-0.691158
219,-2.537980,2.616500,4.464530,0.601540,-0.625594,-0.496772
220,-2.552890,2.620240,4.467960,-0.320567,-0.762196,-0.562401
221,-2.542880,2.623400,4.479690,0.689942,-0.548324,0.472569
222,-1.764470,1.352500,4.556110,-0.702414,-0.163594,-0.692714
223,-1.246890,-0.021317,4.563790,-0.731706,0.458269,-0.504575
224,-1.230840,-0.020907,4.563790,0.705819,0.492496,-0.509183
225,-1.238860,-0.023536,4.550130,-0.005507,0.147671,-0.989021
226,-3.063540,-0.019554,4.472510,0.253628,0.550703,-0.795235
227,-3.049240,-0.025562,4.472910,0.687769,-0.309088,-0.656839
228,-3.060310,-0.032492,4.464580,0.687769,-0.309088,-0.656839
229,-1.497990,0.239276,4.601140,-0.547278,-0.212355,-0.809563
230,-1.461060,0.242364,4.587900,-0.046750,0.010498,-0.998851
231,-1.463900,0.233324,4.602370,-0.085428,-0.939991,-0.330331
232,-1.051060,0.456088,4.628410,-0.232898,0.926130,-0.296719
233,-1.038250,0.457166,4.621720,0.432099,0.610424,-0.663832
234,-1.046630,0.451701,4.611240,0.432099,0.610424,-0.663832
235,2.242930,0.451646,3.248470,-0.343238,0.312763,-0.885645
236,2.228930,0.451488,3.253840,-0.901902,0.214238,-0.375067
237,2.235920,0.454259,3.266820,-0.808601,0.485934,0.331710
238,0.097031,1.424740,4.227390,0.682536,-0.602564,-0.413595
239,0.086740,1.412320,4.195410,0.094173,-0.326156,-0.940613
240,0.093533,1.438570,4.222110,0.214004,0.663477,-0.716938
241,0.128166,1.440560,4.229730,0.426694,-0.769461,-0.475249
242,-1.181340,0.703677,4.586700,0.449789,-0.534461,-0.715570
243,-1.174260,0.695912,4.596950,0.449789,-0.534461,-0.715570
