vertex_index,x,y,z,nx,ny,nz
172,-0.764259,0.350021,4.653100,-0.167056,0.356175,0.919365
173,-0.754771,0.346171,4.643290,0.999941,-0.002329,0.010589
174,-0.764049,0.349560,4.633120,-0.147597,0.313454,-0.938063
175,-1.252880,0.725327,4.614970,0.510864,-0.810539,0.286432
176,-1.281100,0.720764,4.601620,-0.793756,0.251137,0.553969
177,-1.276340,0.705037,4.596570,0.393038,-0.892959,0.219420
178,-1.281340,0.716712,4.585700,-0.102896,0.268908,-0.957654
179,-0.240175,0.610581,4.666050,0.187826,0.585792,-0.788396
180,-3.061770,0.147052,4.473200,-0.146137,-0.347203,-0.926333
181,-3.052470,0.150553,4.483350,0.999244,-0.029919,0.024819
182,-3.062260,0.147424,4.493170,-0.191538,-0.312304,0.930473
183,-3.065000,0.157232,4.482920,-0.596970,0.801717,-0.029597
184,-1.448070,0.042104,4.582510,-0.144556,-0.352290,-0.924660
185,-1.446120,0.036382,4.601490,0.024864,-0.749056,0.662040
186,-1.453360,0.047188,4.595040,-0.958874,-0.281407,0.037015
187,-1.438990,0.046191,4.593260,0.605596,-0.794951,-0.036138
188,2.013100,1.565060,4.840250,0.281668,0.085356,0.955708
189,2.006360,1.557790,4.829790,-0.503591,-0.863693,-0.020735
190,2.017220,1.563090,4.821950,0.663975,-0.097346,-0.741391
191,-0.856991,0.950250,4.653350,0.713423,0.699514,-0.041327
192,-0.871162,0.945972,4.650750,-0.868044,0.330863,-0.370175
193,-0.864667,0.941513,4.663550,-0.056961,-0.177370,0.982494
194,-1.348730,0.247613,4.616110,-0.487662,0.162176,0.857837
195,-1.339430,0.239101,4.608830,0.497509,-0.832765,0.242873
196,-1.340450,0.253174,4.605630,0.377330,0.913290,-0.153375
197,0.092186,0.362098,4.633490,-0.690578,-0.028351,-0.722702
198,0.098648,0.370034,4.643730,-0.119362,0.944659,0.305568
199,0.110330,0.361690,4.641840,0.996351,-0.066272,0.053774
200,-2.646970,0.068359,4.525030,0.310322,-0.041299,0.949734
201,-2.645330,0.071502,4.505520,0.461929,0.248900,-0.851276
202,-2.656320,0.074863,4.515210,-0.701964,0.710069,0.055217
203,-3.067350,0.577937,4.481080,0.451276,-0.161426,0.877663
204,-3.074330,0.587955,4.472270,-0.244985,0.966207,0.080160
205,-3.077100,0.574087,4.471560,-0.656223,-0.754560,-0.003206
206,-1.553230,0.759265,4.599540,-0.537839,0.393324,0.745671
207,-1.548370,0.758769,4.581600,-0.214495,0.471556,-0.855352
208,-1.550150,0.746158,4.591100,-0.726966,-0.667318,0.161884
209,-2.755650,0.668387,4.504270,-0.367488,0.360882,0.857156
210,-2.742410,0.666123,4.495410,0.984237,0.172300,0.039886
211,-2.754860,0.668248,4.485450,-0.294358,0.348203,-0.890004
212,-1.515890,1.339730,4.617670,0.017072,0.055114,0.998334
213,-1.506470,1.339040,4.603640,0.932627,-0.011694,-0.360653
214,-1.521330,1.347110,4.603350,-0.509059,0.768846,-0.386956
215,-3.063450,0.285016,4.481030,0.125949,-0.320253,0.938922
216,-3.062440,0.284349,4.461180,0.219358,-0.381877,-0.897804
217,-3.060160,0.294468,4.470920,0.613196,0.789917,0.004729
218,-2.655620,0.546508,4.503510,-0.288176,-0.936837,-0.198218
