face_index,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
178,-2.653490,2.244800,4.460043,0.801067,0.593866,0.074935
179,-3.014240,2.619730,4.457710,0.975820,0.171458,0.135561
180,-2.827770,1.443987,4.462940,0.937892,0.112087,-0.328321
181,-3.126713,2.529910,4.439430,0.808984,-0.145739,-0.569478
182,-0.942025,-0.065194,1.935550,-0.427915,0.577174,-0.695528
183,-0.942280,-0.071814,1.936063,-0.474759,-0.642878,-0.601092
184,-0.938746,-0.068575,1.936577,0.987382,-0.025872,0.156228
185,-2.550067,2.047513,4.470480,0.036667,-0.769737,-0.637307
186,-2.650097,2.041700,4.461887,-0.209491,-0.870426,-0.445502
187,-2.646567,2.046077,4.461467,0.851989,0.366556,-0.373834
188,-3.147070,1.348547,4.444153,-0.089765,-0.841906,-0.532106
189,-3.150063,1.448557,4.442720,0.440011,-0.887121,0.139310
190,-3.149953,0.953285,4.454857,-0.329187,-0.081401,-0.940750
191,-3.147240,0.951561,4.458693,0.795253,-0.586665,0.152958
192,-0.743945,-0.079968,1.440037,-0.525817,-0.022386,-0.850303
193,-0.739406,-0.080203,1.441343,0.872203,-0.096949,-0.479439
194,-3.051057,1.841953,4.441473,0.195007,-0.772006,-0.604961
195,-3.049353,1.844907,4.444973,0.609332,0.790897,0.056537
196,-3.244263,2.135987,4.422603,0.063033,-0.096513,-0.993334
197,-3.046157,1.150180,4.460357,-0.348891,-0.876874,-0.330706
198,-3.042800,1.154493,4.458957,0.633715,0.337981,-0.695827
199,-3.054040,0.856900,4.468220,0.097467,0.440920,-0.892239
200,-3.052103,0.854414,4.471900,0.670238,-0.734350,0.107294
201,-3.135880,1.842940,4.434410,0.845641,-0.021283,-0.533328
202,-2.947847,1.845857,4.440183,0.935211,0.173736,-0.308538
203,-2.648593,1.748840,4.474137,0.727899,-0.676160,0.113889
204,-3.147870,1.763127,4.433303,0.189951,0.775744,-0.601781
205,-3.146177,1.760077,4.436573,0.515156,-0.856920,-0.017367
206,-2.951557,1.938623,4.438190,0.804564,0.101921,-0.585055
207,-3.056547,2.047967,4.441160,0.086864,0.788222,-0.609230
208,-3.036930,2.144177,4.438667,0.768816,0.035738,-0.638470
209,-2.849710,1.941337,4.448547,0.042680,-0.891352,-0.451298
210,-2.847160,1.945700,4.450247,0.788238,0.580823,-0.203288
211,-3.017457,2.619620,4.453957,-0.303135,0.076648,-0.949860
212,-2.981690,2.438017,4.429077,-0.438188,-0.759913,-0.480128
213,-2.841673,2.545577,4.451163,0.819222,0.573207,0.017574
214,-3.154080,2.247333,4.433777,0.003279,0.826232,-0.563320
215,-3.232380,2.506077,4.407790,0.380829,-0.607106,-0.697418
216,-3.259137,2.356610,4.426967,0.328460,-0.732907,-0.595786
217,-2.953930,2.253300,4.429570,-0.702295,0.043037,-0.710584
218,-2.951867,2.250733,4.432990,0.723868,-0.689100,0.034011
219,-3.302553,2.324290,4.424390,-0.295304,-0.954491,0.041749
220,-3.151940,2.244253,4.436787,0.719742,-0.691034,-0.066662
221,-2.735100,2.453813,4.459920,0.805038,-0.592713,-0.024614
222,-2.739787,2.453283,4.459403,-0.612996,-0.768405,-0.183820
223,-2.843203,2.541527,4.448847,-0.048523,-0.804451,-0.592033
224,-3.232197,1.770530,4.425003,-0.222317,-0.405027,-0.886864
225,-2.752437,2.243170,4.458030,0.706598,-0.706941,0.030885
226,-2.547943,2.049813,4.474103,0.726030,0.681611,0.091027
227,-2.545683,2.148907,4.469000,0.891707,-0.013793,-0.452403
228,-1.563107,2.136453,4.565703,0.233291,0.209427,-0.949587
229,-1.563040,2.134070,4.569877,0.314137,-0.896104,0.313554
230,-2.142920,1.746653,4.513343,0.908267,-0.009149,-0.418291
231,-2.051353,1.455293,4.534773,0.676504,-0.730739,0.091452
232,-1.554890,1.744023,4.577820,0.913007,-0.373783,-0.163416
233,-1.559527,1.743630,4.579023,-0.816465,-0.416231,-0.400172
234,-2.145267,1.654503,4.517363,0.477005,-0.048194,-0.877578
235,-0.854877,1.343103,4.643947,0.559402,0.114934,-0.820889
236,-1.246713,0.598189,4.596133,-0.912480,-0.228796,-0.339165
237,-1.254960,0.550111,4.603043,0.626956,0.160929,-0.762252
238,0.115034,1.434910,4.233217,0.431706,-0.879345,0.200956
239,-1.743773,2.151723,4.524560,0.063819,-0.641241,-0.764681
240,-2.462313,1.360930,4.494613,0.891002,0.063371,-0.449555
241,-2.450413,1.359970,4.499933,0.144742,0.064081,-0.987392
242,-3.045660,1.046087,4.463167,0.883512,0.166785,-0.437709
243,-1.352490,-0.036406,4.557827,-0.844840,-0.421496,-0.329525
244,-1.642427,0.656705,4.569530,0.806516,0.008137,-0.591156
245,-1.342080,0.245221,4.603743,0.857316,-0.054266,-0.511922
246,-1.242720,0.043441,4.605163,-0.025542,-0.493229,-0.869525
247,-1.049553,0.247698,4.623280,-0.133149,-0.781221,-0.609889
248,-1.047057,0.249665,4.626767,0.839889,0.540370,0.050869
249,-0.946849,0.148487,4.631563,0.032535,0.494791,-0.868403
250,-0.658928,0.050178,4.650980,0.792747,-0.579782,-0.188165
251,-0.661295,0.053801,4.649053,0.092984,0.547153,-0.831852
252,-1.335083,0.439778,4.599067,-0.294845,0.171953,-0.939946
253,-1.047727,0.342445,4.624977,0.337585,0.150163,-0.929240
254,-1.531367,0.137664,4.604190,0.670524,-0.737805,0.077731
255,-1.242893,0.248335,4.608923,0.810033,0.043726,-0.584751
256,-1.845623,0.142730,4.580510,0.800894,0.587945,0.113531
257,-1.382553,0.415397,4.596420,0.061887,0.084204,-0.994525
258,-1.251520,0.345655,4.606313,0.575830,-0.039170,-0.816631
259,-1.448113,0.557340,4.592257,0.253528,0.831927,-0.493580
260,-1.059923,0.140149,4.620907,-0.120821,-0.272116,-0.954649
261,-1.489763,0.237438,4.605180,-0.167352,-0.980261,-0.105272
262,-1.904270,-0.039163,4.553773,0.498178,-0.588155,-0.637097
263,-1.903953,-0.033653,4.556153,0.449405,0.860065,-0.241504
264,-2.446397,0.948968,4.510953,0.076551,0.732379,-0.676580
265,-2.444437,0.946782,4.514687,0.680126,-0.722000,0.127060
266,-3.070137,0.581702,4.471567,0.829198,0.558527,-0.021848
267,-2.537917,0.275509,4.522250,0.674845,-0.737412,0.028412
268,-1.447333,0.553550,4.595057,0.560163,-0.826706,-0.052671
269,-1.344050,0.547886,4.598540,0.201776,-0.917940,-0.341574
270,-1.157950,0.621666,4.608207,-0.773890,-0.160086,-0.612753
271,-1.153527,0.625269,4.609027,0.406978,0.852369,-0.328384
272,-1.153483,0.620326,4.610263,0.628932,-0.777155,0.021773
273,-1.230423,0.616106,4.595177,0.024482,-0.294212,-0.955426
274,-1.241957,0.600949,4.594767,0.663105,0.293445,-0.688608
275,-1.236397,0.588260,4.597393,0.844643,-0.073570,-0.530250
276,-1.248290,0.578006,4.599603,-0.896073,0.261655,-0.358596
277,-1.243887,0.575628,4.598387,0.536846,-0.580155,-0.612550
278,-1.246287,0.561802,4.604350,0.088179,-0.193917,-0.977047
279,-1.027927,0.620103,4.619810,-0.302491,-0.944839,-0.125610
280,-1.026283,0.623661,4.616977,0.793356,0.381998,-0.473987
281,-1.330103,0.610062,4.601327,0.969042,-0.155796,0.191536
282,-1.251643,0.449535,4.602360,0.016643,0.782403,-0.622551
283,-1.249477,0.447336,4.605943,0.727547,-0.681559,0.078441
284,-1.254197,0.735658,4.615013,0.987182,0.125400,0.098728
285,-1.229020,-0.000727,4.595833,-0.516297,-0.831380,-0.205535
286,-2.751893,0.059242,4.505650,-0.741243,0.314472,-0.593014
287,-1.474463,0.244086,4.597187,-0.254025,0.816758,-0.518051
288,-1.150320,0.250357,4.616190,0.183142,0.820389,-0.541684
289,-1.152403,0.245528,4.616223,-0.828548,-0.479658,-0.288855
290,-1.147233,0.244704,4.616723,0.827893,-0.360139,-0.429993
291,-2.818343,0.483737,4.497510,0.936224,0.226114,-0.268994
292,-1.040810,-0.073852,1.849787,0.163504,-0.744097,-0.647754
293,-1.040570,-0.068251,1.850440,0.136453,0.846702,-0.514273
294,-2.862397,0.153221,4.496997,-0.506730,0.740345,-0.441717
295,-3.045517,0.438850,4.474517,0.749045,-0.371499,-0.548563
296,-2.749167,0.060248,4.509400,0.858918,0.491437,0.144045
297,-2.852997,-0.006723,4.484153,0.000065,0.875158,-0.483836
298,-2.850173,-0.010366,4.486440,0.763294,-0.611518,-0.208392
299,-2.848527,0.158410,4.494383,-0.227676,0.625381,-0.746366
300,-2.854377,0.147745,4.493367,0.430853,-0.609605,-0.665393
301,-2.944637,0.054366,4.483073,0.098229,-0.800480,-0.591255
302,-2.942773,0.057208,4.486400,0.640610,0.767850,0.005055
303,-3.141743,0.040285,4.467863,0.345037,-0.187821,-0.919605
304,-3.140147,0.041766,4.473057,0.797781,0.233521,0.555890
305,-3.056450,-0.029352,4.473613,0.470681,-0.876212,0.103499
306,-2.913390,-0.011730,4.482823,-0.127226,0.173696,-0.976547
307,-2.910080,-0.013057,4.486653,0.934588,-0.251832,0.251248
308,-2.448180,0.348134,4.523723,0.012941,-0.771295,-0.636346
309,-2.446007,0.350606,4.527203,0.728554,0.683333,0.047602
310,-2.648000,0.067106,4.514663,0.838117,-0.545214,-0.017381
311,-2.754173,0.261047,4.494887,0.454631,0.601178,-0.657188
312,-2.546283,0.445141,4.513090,0.045453,-0.834868,-0.548570
313,-2.545653,0.449311,4.515307,0.708897,0.705267,0.008030
314,-2.050283,0.949582,4.543823,-0.813615,-0.083451,-0.575384
315,-2.146817,0.945469,4.539017,0.762742,0.646701,-0.001741
