face_index,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
143,-2.271443,2.238003,4.484977,0.818380,-0.571267,0.062519
144,-3.047910,0.946909,4.465147,0.030850,-0.362184,-0.931596
145,-1.754263,2.336663,4.531277,-0.739075,0.664000,0.113455
146,-1.749480,2.335267,4.533323,0.836712,0.290476,0.464259
147,-1.751313,2.334223,4.527487,0.403910,0.044355,-0.913723
148,-1.752813,2.331837,4.531683,-0.376424,-0.884285,0.276307
149,-3.062870,0.367323,4.480030,0.560689,0.827268,-0.035437
150,-2.141670,0.448103,4.551723,0.700577,-0.387357,0.599288
151,-3.143830,0.855829,4.464643,-0.656799,0.749269,-0.084917
152,-3.203183,0.854782,4.446467,-0.617352,-0.783405,-0.071777
153,-3.061217,-0.027349,4.473480,-0.958560,-0.277855,0.062921
154,-2.829463,0.642281,4.480780,0.825469,0.239996,-0.510885
155,-1.571123,0.953424,4.589053,-0.179887,-0.720379,0.669847
156,-1.568377,0.953322,4.583163,0.387952,-0.741545,-0.547361
157,-1.567707,0.956725,4.587003,0.642946,0.709925,0.287449
158,-1.572073,0.955934,4.584980,-0.750890,0.553804,-0.359813
159,-2.548807,0.751743,4.518967,-0.085670,0.813888,0.574672
160,-2.836650,0.258194,4.494577,-0.639518,0.717743,-0.275429
161,-2.836147,0.849772,4.483200,-0.665025,0.733819,-0.138749
162,-3.144100,0.851086,4.464770,-0.712428,-0.700399,-0.043448
163,-3.058960,0.752213,4.469677,0.538756,0.802289,0.257049
164,-2.975533,0.940945,4.466760,-0.361753,-0.746111,-0.558975
165,-1.648210,0.748149,4.568257,-0.708942,0.705216,-0.008480
166,-2.968163,0.676582,4.475447,0.925584,-0.376534,0.038947
167,-2.748177,0.252058,4.502563,-0.491462,-0.861158,-0.129894
168,-3.148317,0.747495,4.459253,-0.605719,-0.745645,0.277702
169,-3.147737,0.752705,4.459187,-0.425793,0.867565,0.256965
170,-3.145800,0.749805,4.455623,0.290748,-0.044591,-0.955760
171,-2.827003,0.223038,4.504853,0.384745,0.606654,0.695659
172,-2.131753,2.343523,4.506157,-0.639705,-0.754061,-0.148893
173,-2.130713,2.346737,4.509737,-0.291343,0.826728,0.481290
174,-2.128617,2.346197,4.503463,0.097148,0.726475,-0.680291
175,-2.127297,2.344263,4.507583,0.755274,-0.581437,0.302476
176,-1.845190,0.056419,4.577373,0.792942,-0.089523,0.602684
177,-2.973960,0.942317,4.472353,-0.204737,-0.344603,0.916150
178,-1.658457,1.650330,4.549147,0.058919,-0.851763,-0.520604
179,-3.146043,0.657963,4.460360,-0.023789,0.137474,-0.990220
180,-2.247863,2.601850,4.489270,-0.202948,-0.702323,-0.682316
181,-2.047190,1.748663,4.522000,-0.635166,-0.767224,-0.089065
182,-3.144060,0.654757,4.464287,0.670773,-0.700426,0.243858
183,-3.212177,0.949281,4.455220,-0.467122,0.806921,0.361491
184,-2.844907,2.150840,4.447207,0.819851,0.565692,0.088530
185,-2.847980,2.148657,4.450217,-0.162815,-0.807944,0.566319
